step,vehicle_count,speed,co2_emission
0,1,0.0,1521.0
1,1,2.0296243834774943,3538.964349935945
2,1,3.98405013747979,4087.4594010904448
3,2,3.2714762529707517,3775.442628373197
4,2,5.029796842799987,4227.069405014533
5,2,7.0232282224460505,5362.785631128859
6,3,5.864628803753295,4269.9136062995685
7,3,6.034843821492562,2712.836087596545
8,3,6.422692730205031,3203.1693283318623
9,4,4.535002892970457,2467.4720610477384
10,4,5.526810526358662,3014.1853929107638
11,4,6.375897408319092,2855.741753939716
12,5,6.409704266177798,4293.441103660162
13,5,7.746103098825175,4832.854144968562
14,5,8.518246538463762,5106.718916872573
15,6,5.7467891989722375,1189.0396588117044
16,6,5.692673514807843,2435.4513792473595
17,6,6.9530157176008025,4350.6489278325835
18,7,6.6426304398172205,3254.688238668559
19,7,7.829886536367963,4061.485074021013
20,7,8.164853361285177,3383.8490688680067
21,8,7.587093329612762,4174.773372461796
22,8,8.706734083754784,4313.711860101957
23,8,10.021441742567188,5275.848211829468
24,9,9.614479011775371,4036.4849141827854
25,9,9.942654663512899,4099.602687137074
26,9,10.455710090302793,4178.083927595606
27,10,9.387217868182791,4198.388259073378
28,10,10.113513310552396,4732.453762704293
29,10,10.802530917428893,4320.270876834973
30,11,10.35012726188471,4307.4885830663425
31,11,10.999469547705727,2948.774890854475
32,11,10.973455495467586,3100.661323812042
33,12,9.389475247201132,2115.6572412074993
34,12,9.824443558782356,4047.528184805706
35,12,9.405903320278384,2722.404665745428
36,13,8.555337091872136,3436.8038257814383
37,13,8.731028928653984,3718.1582545329893
38,13,8.760301418980774,2490.9089745761053
39,14,7.533885197653445,2045.2385294077105
40,14,6.642999888402964,2056.944000868599
41,14,6.4874490123102975,2510.1809232321343
42,15,6.131409221277505,2388.1112213447427
43,15,6.5847877376497275,3520.7883751128566
44,14,6.970286839737921,3215.950387200617
45,15,6.856302773596364,2966.701355982251
46,15,7.204522328896295,2728.125530717209
47,15,7.538273104868433,3430.7513218146223
48,16,7.194231914672981,2310.705786361843
49,16,7.455112501518265,2970.0495858645936
50,16,7.024504952467744,2732.888035210322
51,17,6.306181172643102,2226.0070554319623
52,17,6.805761205339907,3442.9655389890536
53,17,6.678970153694331,2467.7300081145363
54,18,6.680076422505865,3175.9057182024553
55,18,7.130450028011751,3176.0057743879547
56,18,6.70059048527401,2305.381351928899
57,19,6.6437648474005755,2838.4601639922635
58,19,7.416861306025598,3986.176993776742
59,19,8.350721702273372,4438.3920398999835
60,20,8.399262778994267,3515.5922557807453
61,20,9.109490984665657,4049.183864569784
62,20,9.49740983923516,4273.059878597331
63,21,9.454451402194266,4397.902955198973
64,21,9.509437374383456,3612.068908656545
65,21,9.770640347188374,4147.037392991103
66,22,9.617973962269303,3483.6729808399614
67,22,9.88821273114933,3562.8185265096645
68,22,9.58746629494774,2904.2306487769088
69,23,9.075214953302517,2853.8359634161316
70,23,8.94986460883746,2684.577685159094
71,23,9.163390921856479,3363.1000801175846
72,24,9.346582839840142,3938.0238933789356
73,24,9.428749856934521,3232.707553499149
74,24,9.776615535664575,3587.7974963681754
75,25,9.29897048108876,3599.556490490827
76,25,9.060690544374225,2819.2449718440917
77,25,9.468063607668842,3564.614217425216
78,26,9.01154144775562,2733.8758782865343
79,26,8.788123313244638,2615.388029748682
80,26,8.70835441309159,3104.8926534896214
81,27,8.850330900864643,3549.0988229208187
82,27,9.319509012609215,3942.9512775978305
83,27,9.58838067011245,3915.1582424291264
84,28,9.592957152708085,3605.097124901827
85,28,9.288108477324323,2685.4433798173945
86,28,8.896483188719863,3158.3572852185107
87,29,8.824972217302573,3501.399602510603
88,29,9.694489387468808,4454.24118301069
89,28,10.096105064308727,4569.143367571041
90,29,10.411122023455917,4415.302011979993
91,29,11.464861065009734,5354.825594539053
92,29,12.030406680772485,5009.0136288581825
93,30,12.10738108360809,4836.903204954578
94,30,12.342659061518273,4303.744820696189
95,30,13.012632968409688,4954.357416824328
96,31,13.20466650135071,4801.262644144747
97,31,13.770981560495617,4606.013132133486
98,31,14.066993161396923,4634.883607969893
99,32,13.849438139513918,4032.5661371499036
100,32,14.034022984553879,4103.380431385945
101,32,14.614123267092388,5493.160539000037
102,32,14.105981878803046,3831.6527008209678
103,32,13.881396013924125,3304.841544739008
104,32,13.590704447016869,3054.6877066054462
105,33,13.03987217855879,3650.7680517683143
106,33,12.886203462494908,3143.74032439673
107,33,12.494189079070846,3309.490619891635
108,34,11.682450846499323,3145.0661436403557
109,34,11.007094248718186,2415.3238514214995
110,34,10.384333599530443,2592.8155115125132
111,35,9.720651843574688,2360.472067507332
112,35,9.08677148465961,1967.9190529458976
113,35,8.91490419060308,2473.5248060054337
114,36,8.633828979510211,2708.9363317894577
115,36,8.795687864112573,3045.684554009079
116,36,8.7448161676814,2774.6323056064834
117,37,8.435008255130725,2417.1858240788847
118,37,8.371343470003614,2582.023938596113
119,37,8.370950920782,2649.2577574739566
120,38,8.095407371780666,3118.7921298020947
121,37,8.080989838014068,3089.479317317115
122,37,8.315435312637938,2602.4989789427814
123,38,8.39658504627504,2840.5294666044833
124,38,8.358695092000161,2452.793238576737
125,38,8.46463773127663,2448.918748570624
126,39,8.286003287847446,2343.569693782293
127,39,8.126972742361955,2601.571749304475
128,39,8.134927848994826,2682.761210974255
129,40,8.169660452949065,3029.5303937840545
130,40,8.427435710413045,3221.3085553399264
131,40,8.529869250692737,3007.5196815434474
132,41,8.247335377621226,2736.7504036197497
133,41,8.026312906134633,2518.175158401871
134,41,7.856269091032538,2217.301719148833
135,42,7.382033031337615,2068.1338867910677
136,42,7.451124337150653,2598.6540515195584
137,42,7.473105916505655,2413.943957367009
138,43,7.595261239852808,2688.180315098568
139,43,7.9567173082308775,3081.0319106783923
140,43,8.185393161237423,3096.6475414844017
141,44,7.94435860959949,2809.4229573724624
142,44,8.465959969638766,3297.2530951939157
143,44,8.969473018460603,3798.54999910288
144,45,9.046043740834861,2713.3522465616843
145,45,9.325925635120264,2617.131214275231
146,45,9.439790295884862,2966.6647185464294
147,46,9.49057199129472,3254.4647263201027
148,46,10.050679739212987,3672.182957322639
149,46,10.282179098230138,3449.365185142821
150,47,10.539531326845037,3769.8936112929123
151,47,11.096345794360266,4113.296995500671
152,47,11.402735768795946,4051.92556024035
153,48,11.145567935440107,3073.780810189583
154,48,11.232068051992718,3635.167285033472
155,47,10.817625777905691,2814.4615380181176
156,48,10.526502391477807,3249.950571208164
157,48,10.259487095769044,2622.256777483571
158,48,9.902502688848857,2107.434136816377
159,49,9.652876967345653,2677.915975684902
160,49,9.74877411356191,2857.331888614191
161,49,9.7469458724608,2382.4267210758862
162,50,9.888354138899691,3048.1210562329534
163,50,10.066994102647579,3176.307656708098
164,49,10.072974903570433,2910.3849341030827
165,50,10.072988891320694,2918.8671116101973
166,50,10.173730732714274,2918.523023220147
167,49,10.215020994734605,2851.712451248634
168,50,10.125990598603178,2790.5240077652
169,49,10.089727287901727,2626.268057917502
170,49,10.125372429222454,2710.4500179155675
171,50,9.788681600718423,2588.5677620836664
172,50,9.536022688048066,2532.0380307576106
173,50,10.050856116457739,2613.5761636179536
174,51,10.054637696954877,3127.8351848943503
175,51,10.320508095952349,3259.7907999873946
176,51,10.71758321855037,3770.1926939214122
177,51,10.459801591936815,3182.524220936052
178,51,10.59983987235378,3476.0219899485282
179,51,10.705729548803445,2983.578442566852
180,52,10.615604035370845,3146.037544273893
181,52,10.513503065462784,3058.4934985190894
182,52,10.515681813159173,2879.705635439566
183,53,10.332534125975844,2875.3680507520944
184,53,10.489562038715238,3105.0187925699993
185,53,10.417865306810068,3046.925693379806
186,54,9.786180674261917,2883.2158144973687
187,54,9.580572376187588,2690.945399481469
188,54,9.65451762679322,3233.106368545294
189,55,9.46262164268714,2781.756188894099
190,55,9.772637559573422,3260.4582744693903
191,55,10.219155802122112,3775.766417182203
192,56,10.248083265414051,3261.415314089377
193,56,10.239893653848256,3188.32355376892
194,56,10.144371685189856,3003.8423898942674
195,57,9.763794322033961,2477.330541088303
196,57,9.519729093797833,2846.2918926871316
197,57,9.09969927090934,2300.6436972470065
198,58,8.802370229317134,2395.1082855722007
199,58,8.510112703529241,2425.3719168852645
200,57,8.093137607466838,1942.4693276114463
201,58,7.6447117060039025,2129.167656226872
202,58,7.382855187954799,2023.3842764514268
203,58,7.37723719386534,2534.0419735184055
204,59,7.114820288443609,2327.511258005509
205,58,7.182113639951441,2560.951356699328
206,58,7.716883556524654,3351.0225905283437
207,59,8.211320814096718,3571.7531250739794
208,59,8.956735758295626,4153.619174822537
209,59,9.339037221214147,3442.17215983667
210,60,9.388505651681074,3395.375997817688
211,60,9.525913492873112,3524.526618640171
212,60,9.9987055413638,3782.3082774273466
213,61,9.951392689898507,3749.434316841393
214,61,9.80249263980469,3303.118019858105
215,60,9.649039837472857,2912.998444090627
216,60,9.358120344493129,2791.604550142583
217,59,9.040494275318247,2728.261966356032
218,59,8.74554225710118,2562.6511732397094
219,60,8.428419043465848,2528.0467734158133
220,60,8.416784903094955,2872.609062932257
221,60,8.280276959727379,2598.9873647811505
222,61,7.9027214922825175,2776.533870031855
223,61,8.138413536519861,3493.952163865892
224,60,8.639697956382907,4014.2942132295275
225,60,8.785870842805325,3120.8769013844094
226,61,8.84305884371299,3615.8637163834264
227,60,8.90916808879709,2956.875682043169
228,61,8.700618494801358,2681.7952740391834
229,61,8.765214242588845,2962.301771043334
230,61,8.655052534026243,2972.6286609598637
231,62,8.4646800517132,3126.5454828514876
232,62,8.684562259397815,3277.123841366262
233,62,8.756397090612401,2760.448986976186
234,62,8.913786282808106,2973.908613834383
235,63,8.828873528003696,2843.1600267518443
236,63,8.62827316063321,2633.4222530098878
237,63,8.25173094919251,2583.582452330195
238,63,8.551857529607982,3274.184050632563
239,63,8.928203346546447,3309.093227573897
240,64,9.033298137822342,3682.4669378137396
241,64,9.286022779321838,3555.033210584096
242,64,9.411790722021337,3397.6213790195134
243,64,9.237363165447649,3797.396781328739
244,64,9.301301358270178,3430.6009477557277
245,64,9.622019255824462,3580.9296836684816
246,65,9.926647692215063,3809.6542335229374
247,64,10.319236815112887,3936.394158517219
248,64,10.432635111561453,3040.138952274564
249,65,10.626527685179102,2672.6027653770675
250,65,10.546237096509929,2695.728238936542
251,65,10.23580845174698,2620.8890057272324
252,65,9.854833717765873,2658.3395477872054
253,65,9.584375283526526,2656.81878029895
254,65,9.258786587368528,2099.2495114903577
255,66,8.922811279171315,2701.374834261055
256,67,8.825534592261983,3168.702705787027
257,67,8.771731504030683,2892.7769064226895
258,68,8.827518198114873,3036.5904387561113
259,68,9.037957714833023,2885.175527639545
260,67,9.13359673835786,3194.6230956815466
261,68,9.220687304341295,3461.8856354325535
262,68,8.915188219649178,2601.3255048078704
263,67,8.687183610705208,2618.047938212962
264,67,8.377947339875199,2330.5787433271057
